time,latitude,longitude,mag,country
2004-02-07,-4.003,135.023,7.3,Indonesia
2004-02-05,-3.615,135.538,7.0,Indonesia
2004-01-03,-22.253,169.683,7.1,New Caledonia
2003-12-27,-22.015,169.766,7.3,New Caledonia
2003-11-17,51.146,178.65,7.8,USA
2003-10-31,37.812,142.619,7.0,Japan
2003-09-27,50.038,87.813,7.3,Russia
2003-09-25,41.774,143.593,7.4,Japan
2003-09-25,41.815,143.91,8.16,Japan
2003-08-21,-45.104,167.144,7.2,New Zealand
2003-06-20,-7.606,-71.722,7.1,Brazil
2003-05-26,2.354,128.855,7.0,Indonesia
2003-05-26,38.849,141.568,7.0,Japan
2003-03-17,51.272,177.978,7.1,USA
2003-01-22,18.77,-104.104,7.6,Mexico
2003-01-20,-10.491,160.77,7.3,Solomon Islands
2002-11-17,47.824,146.209,7.3,Russia
2002-11-03,63.5141,-147.4529,7.9,USA
2002-11-02,2.824,96.085,7.4,Indonesia
2002-10-10,-1.757,134.297,7.6,Indonesia
2002-09-08,-3.302,142.945,7.6,Guinea
2002-08-19,-23.884,178.495,7.7,Fiji
2002-08-19,-21.696,-179.513,7.7,Fiji
2002-06-28,43.752,130.666,7.3,China
2002-04-26,13.088,144.619,7.1,Guam
2002-03-31,24.279,122.179,7.1,Taiwan
2002-03-05,6.033,124.249,7.5,Philippines
2002-03-03,36.502,70.482,7.4,Afghanistan
2002-01-02,-17.6,167.856,7.2,Vanuatu
2001-12-12,-42.813,124.688,7.1,Australia
2001-11-14,35.946,90.541,7.8,China
2001-10-31,-5.912,150.196,7.0,Guinea
2001-10-19,-4.102,123.907,7.5,Indonesia
2001-10-12,12.686,144.98,7.0,Guam
2001-08-21,-36.813,-179.575,7.1,New Zealand
2001-07-07,-17.543,-72.077,7.6,Peru
2001-06-23,-16.265,-73.641,8.4,Peru
2001-06-03,-29.666,-178.633,7.2,New Zealand
2001-02-24,1.271,126.249,7.1,Indonesia
2001-02-13,-4.68,102.562,7.4,Indonesia
2001-01-26,23.419,70.232,7.7,India
2001-01-13,13.049,-88.66,7.7,El Salvador
2001-01-09,-14.928,167.17,7.1,Vanuatu
2001-01-01,6.898,126.579,7.5,Philippines
2000-12-06,39.566,54.799,7.0,Turkmenistan
2000-11-17,-5.496,151.781,7.8,Guinea
2000-11-16,-5.233,153.102,7.8,Guinea
2000-11-16,-3.98,152.169,8.0,Guinea
2000-10-29,-4.766,153.945,7.0,Guinea
2000-10-04,-15.421,166.91,7.0,Vanuatu
